Counter,YLeftRaw,YLeft^2,YLeft^3,lefthalo, vlefthalo,vlefthalo^2,Deadband,Exoscale
1,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
2,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
3,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
4,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
5,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
6,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
7,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
8,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
9,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
10,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
11,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
12,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
13,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
14,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
15,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
16,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
17,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
18,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
19,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
20,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
21,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
22,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
23,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
24,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
25,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
26,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
27,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
28,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
29,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
30,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
31,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
32,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
33,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
34,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
35,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
36,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
37,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
38,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
39,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
40,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
41,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
42,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
43,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
44,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
45,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
46,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
47,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
48,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
49,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
50,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
51,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
52,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
53,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
54,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
